                   0 a=    x, b=    x, c=x, s=    x, cout=x
                1120 a=25452, b= 4271, c=1, s=29724, cout=0
                1130 a=62233, b=47736, c=0, s=44433, cout=1
                1140 a=18356, b=48200, c=0, s= 1020, cout=1
                1150 a=33980, b=19516, c=0, s=53496, cout=0
                1160 a=29636, b=21557, c=1, s=51194, cout=0
                1170 a= 4215, b= 9780, c=0, s=13995, cout=0
                1180 a=39664, b=46600, c=0, s=20728, cout=1
                1190 a=31990, b=18204, c=1, s=50195, cout=0
                1200 a=59914, b=12861, c=1, s= 7240, cout=1
                1210 a= 6456, b=28397, c=0, s=34853, cout=0
                1220 a=16089, b=30201, c=1, s=46291, cout=0
                1230 a=18822, b=22434, c=1, s=41257, cout=0
                1240 a=44329, b=40791, c=1, s=19585, cout=1
                1250 a= 3993, b=51123, c=0, s=55116, cout=0
                1260 a=32809, b=10759, c=1, s=43569, cout=0
                1270 a=57048, b=14974, c=1, s= 6487, cout=1
                1280 a=25363, b=30991, c=0, s=56354, cout=0
                1290 a=47371, b=62981, c=0, s=44816, cout=1
                1300 a=53662, b=29247, c=1, s=17374, cout=1
                1310 a=62506, b=35704, c=0, s=32674, cout=1
                1320 a=  480, b=28145, c=0, s=28625, cout=0
                1330 a=22038, b=46968, c=0, s= 3470, cout=1
                1340 a=25795, b= 2113, c=1, s=27909, cout=0
                1350 a= 7753, b= 1642, c=1, s= 9396, cout=0
                1360 a=55579, b= 6339, c=0, s=61918, cout=0
                1370 a=54962, b=63387, c=1, s=52814, cout=1
                1380 a=40477, b=65102, c=0, s=40043, cout=1
                1390 a=48945, b=18825, c=1, s= 2235, cout=1
                1400 a=51969, b= 2488, c=0, s=54457, cout=0
                1410 a= 2319, b=64994, c=0, s= 1777, cout=1
                1420 a=42137, b=37362, c=0, s=13963, cout=1
                1430 a=22973, b=35752, c=0, s=58725, cout=0
                1440 a=26244, b=61548, c=1, s=22257, cout=1
                1450 a=  305, b= 3765, c=1, s= 4071, cout=0
                1460 a= 1842, b=54880, c=0, s=56722, cout=0
                1470 a=14139, b=16194, c=1, s=30334, cout=0
                1480 a=17762, b=33023, c=0, s=50785, cout=0
                1490 a=28728, b=11969, c=1, s=40698, cout=0
                1500 a=56323, b=40290, c=1, s=31078, cout=1
                1510 a=19517, b=38145, c=1, s=57663, cout=0
                1520 a=18416, b=56635, c=0, s= 9515, cout=1
                1530 a=45460, b= 9608, c=0, s=55068, cout=0
                1540 a= 2176, b=12204, c=0, s=14380, cout=0
                1550 a=50189, b=58862, c=1, s=43516, cout=1
                1560 a= 1732, b=60704, c=1, s=62437, cout=0
                1570 a=29614, b=51195, c=1, s=15274, cout=1
                1580 a=27235, b=45309, c=1, s= 7009, cout=1
                1590 a=19959, b= 4037, c=0, s=23996, cout=0
                1600 a= 7861, b=36712, c=0, s=44573, cout=0
                1610 a= 2714, b=56230, c=0, s=58944, cout=0
                1620 a= 6338, b= 4646, c=1, s=10985, cout=0
                1630 a=51788, b=26458, c=1, s=12711, cout=1
                1640 a=62990, b=28634, c=0, s=26088, cout=1
                1650 a=42093, b=55175, c=0, s=31732, cout=1
                1660 a= 1312, b=56907, c=0, s=58219, cout=0
                1670 a= 6484, b=62873, c=0, s= 3821, cout=1
                1680 a=32313, b=20108, c=1, s=52422, cout=0
                1690 a= 1982, b=16420, c=1, s=18403, cout=0
                1700 a=44692, b=24281, c=1, s= 3438, cout=1
                1710 a=38509, b= 3347, c=1, s=41857, cout=0
                1720 a=46823, b= 5221, c=1, s=52045, cout=0
                1730 a=65420, b=57009, c=1, s=56894, cout=1
                1740 a=46329, b=26352, c=1, s= 7146, cout=1
                1750 a=39443, b=44797, c=0, s=18704, cout=1
                1760 a= 2235, b=41645, c=1, s=43881, cout=0
                1770 a=16804, b=48129, c=0, s=64933, cout=0
                1780 a=63384, b=56795, c=1, s=54644, cout=1
                1790 a=61625, b=54313, c=1, s=50403, cout=1
                1800 a=63904, b= 5358, c=0, s= 3726, cout=1
                1810 a= 9248, b=20219, c=1, s=29468, cout=0
                1820 a=34469, b= 1506, c=1, s=35976, cout=0
                1830 a=17041, b=38814, c=0, s=55855, cout=0
                1840 a=26070, b=61495, c=0, s=22029, cout=1
                1850 a=40086, b= 7291, c=1, s=47378, cout=0
                1860 a=39276, b= 5062, c=1, s=44339, cout=0
                1870 a= 1726, b= 2682, c=0, s= 4408, cout=0
                1880 a=50696, b=61602, c=1, s=46763, cout=1
                1890 a= 2479, b=53228, c=1, s=55708, cout=0
                1900 a=64330, b=23484, c=1, s=22279, cout=1
                1910 a=56814, b=32732, c=0, s=24010, cout=1
                1920 a=24534, b=43554, c=0, s= 2552, cout=1
                1930 a= 1939, b=36947, c=0, s=38886, cout=0
                1940 a= 3777, b=63017, c=1, s= 1259, cout=1
                1950 a=12784, b= 9455, c=0, s=22239, cout=0
                1960 a=20235, b=25084, c=1, s=45320, cout=0
                1970 a=45684, b=26810, c=1, s= 6959, cout=1
                1980 a=49263, b=53858, c=0, s=37585, cout=1
                1990 a=15988, b=56338, c=0, s= 6790, cout=1
                2000 a=37027, b=27020, c=0, s=64047, cout=0
                2010 a=16128, b=60187, c=1, s=10780, cout=1
                2020 a=39096, b=14721, c=1, s=53818, cout=0
                2030 a=11810, b=58548, c=0, s= 4822, cout=1
                2040 a=46986, b=62325, c=1, s=43776, cout=1
                2050 a=50010, b= 5109, c=1, s=55120, cout=0
                2060 a=60324, b= 1697, c=1, s=62022, cout=0
                2070 a=52053, b=47381, c=1, s=33899, cout=1
                2080 a=42001, b= 2996, c=1, s=44998, cout=0
                2090 a=23551, b=18985, c=1, s=42537, cout=0
                2100 a=11033, b=32364, c=0, s=43397, cout=0
                2110 a=21999, b=48493, c=1, s= 4957, cout=1
                2120 a=  162, b=63941, c=0, s=64103, cout=0
                2130 a=59303, b= 5752, c=0, s=65055, cout=0
                2140 a=  671, b=29090, c=1, s=29762, cout=0
                2150 a=  593, b=55452, c=1, s=56046, cout=0
                2160 a=51858, b=22129, c=0, s= 8451, cout=1
                2170 a=62671, b=50534, c=1, s=47670, cout=1
                2180 a= 6646, b=22535, c=0, s=29181, cout=0
                2190 a=27183, b=22438, c=1, s=49622, cout=0
                2200 a=34059, b=33471, c=1, s= 1995, cout=1
                2210 a= 2419, b=55471, c=0, s=57890, cout=0
                2220 a= 2854, b=51169, c=0, s=54023, cout=0
                2230 a=13546, b=16825, c=0, s=30371, cout=0
                2240 a=17250, b=13032, c=0, s=30282, cout=0
                2250 a=59631, b=55513, c=1, s=49609, cout=1
                2260 a=37122, b=37371, c=0, s= 8957, cout=1
                2270 a=62662, b= 6394, c=0, s= 3520, cout=1
                2280 a=41936, b=59392, c=0, s=35792, cout=1
                2290 a=  558, b=16576, c=0, s=17134, cout=0
                2300 a=48165, b=50635, c=0, s=33264, cout=1
                2310 a=34488, b=24942, c=1, s=59431, cout=0
                2320 a= 3769, b=23332, c=0, s=27101, cout=0
                2330 a=50767, b=36878, c=1, s=22110, cout=1
                2340 a=37981, b=30480, c=0, s= 2925, cout=1
                2350 a= 6989, b=20111, c=1, s=27101, cout=0
                2360 a=55098, b=33586, c=1, s=23149, cout=1
                2370 a=31688, b= 2600, c=1, s=34289, cout=0
                2380 a=35165, b=44536, c=0, s=14165, cout=1
                2390 a=14825, b=45094, c=0, s=59919, cout=0
                2400 a=63275, b= 4075, c=1, s= 1815, cout=1
                2410 a= 5197, b=34100, c=1, s=39298, cout=0
                2420 a= 2590, b= 9757, c=1, s=12348, cout=0
                2430 a=27505, b=60524, c=1, s=22494, cout=1
                2440 a= 3708, b= 4857, c=1, s= 8566, cout=0
                2450 a=30368, b=11846, c=0, s=42214, cout=0
                2460 a=23358, b=43297, c=0, s= 1119, cout=1
                2470 a=53719, b=51337, c=1, s=39521, cout=1
                2480 a=20474, b=16502, c=1, s=36977, cout=0
                2490 a=46622, b= 7679, c=0, s=54301, cout=0
                2500 a=19346, b=47307, c=1, s= 1118, cout=1
                2510 a=19057, b=52504, c=1, s= 6026, cout=1
                2520 a=43710, b=55095, c=0, s=33269, cout=1
                2530 a= 2511, b=58952, c=0, s=61463, cout=0
                2540 a=59262, b=58196, c=1, s=51923, cout=1
                2550 a=10957, b=64917, c=0, s=10338, cout=1
                2560 a=29116, b=64627, c=1, s=28208, cout=1
                2570 a=34508, b=48346, c=0, s=17318, cout=1
                2580 a=18853, b= 3284, c=1, s=22138, cout=0
                2590 a=24087, b=45443, c=0, s= 3994, cout=1
                2600 a= 4415, b=41141, c=1, s=45557, cout=0
                2610 a=30706, b=36551, c=0, s= 1721, cout=1
                2620 a=21098, b=56613, c=1, s=12176, cout=1
                2630 a= 2062, b=54661, c=1, s=56724, cout=0
                2640 a=34623, b=43923, c=1, s=13011, cout=1
                2650 a=29208, b=31233, c=0, s=60441, cout=0
                2660 a=35640, b=60349, c=1, s=30454, cout=1
                2670 a=38073, b= 1209, c=1, s=39283, cout=0
                2680 a=45492, b=  879, c=0, s=46371, cout=0
                2690 a=22117, b=20502, c=1, s=42620, cout=0
                2700 a= 6421, b=24917, c=0, s=31338, cout=0
                2710 a=14385, b=31975, c=1, s=46361, cout=0
                2720 a= 4853, b=53073, c=1, s=57927, cout=0
                2730 a= 3120, b=50672, c=0, s=53792, cout=0
                2740 a=13987, b=61647, c=1, s=10099, cout=1
                2750 a=35754, b= 1671, c=0, s=37425, cout=0
                2760 a=52439, b= 9200, c=1, s=61640, cout=0
                2770 a=63750, b=47273, c=1, s=45488, cout=1
                2780 a=53408, b= 3581, c=0, s=56989, cout=0
                2790 a=18238, b=21234, c=0, s=39472, cout=0
                2800 a=51215, b= 4008, c=1, s=55224, cout=0
                2810 a=55333, b=64745, c=0, s=54542, cout=1
                2820 a=26003, b=45950, c=0, s= 6417, cout=1
                2830 a=29638, b=49070, c=0, s=13172, cout=1
                2840 a=17934, b=63057, c=1, s=15456, cout=1
                2850 a= 2857, b= 5163, c=0, s= 8020, cout=0
                2860 a=19014, b=57602, c=0, s=11080, cout=1
                2870 a= 1871, b=51353, c=0, s=53224, cout=0
                2880 a=55938, b=11113, c=1, s= 1516, cout=1
                2890 a=12772, b= 5703, c=0, s=18475, cout=0
                2900 a=13756, b=56918, c=0, s= 5138, cout=1
                2910 a=62361, b=42251, c=1, s=39077, cout=1
                2920 a= 2942, b= 2718, c=1, s= 5661, cout=0
                2930 a=42948, b= 4244, c=1, s=47193, cout=0
                2940 a=39978, b= 2994, c=0, s=42972, cout=0
                2950 a=28655, b= 1388, c=1, s=30044, cout=0
                2960 a=60891, b=20402, c=0, s=15757, cout=1
                2970 a=32328, b= 3089, c=1, s=35418, cout=0
                2980 a=51038, b=54564, c=0, s=40066, cout=1
                2990 a=45217, b= 1800, c=1, s=47018, cout=0
                3000 a=36983, b=57445, c=1, s=28893, cout=1
                3010 a=32757, b=26158, c=0, s=58915, cout=0
                3020 a= 4092, b= 5452, c=1, s= 9545, cout=0
                3030 a=12449, b=48400, c=1, s=60850, cout=0
                3040 a= 4340, b=18378, c=0, s=22718, cout=0
                3050 a=35640, b=23385, c=0, s=59025, cout=0
                3060 a= 2104, b=14277, c=0, s=16381, cout=0
                3070 a=26170, b=46605, c=1, s= 7240, cout=1
                3080 a=31589, b= 3995, c=1, s=35585, cout=0
                3090 a=24473, b=25564, c=0, s=50037, cout=0
                3100 a= 3876, b=38900, c=1, s=42777, cout=0
                3110 a=54917, b=48009, c=1, s=37391, cout=1
                3120 a=59025, b=47638, c=0, s=41127, cout=1
                3130 a=37740, b=60087, c=0, s=32291, cout=1
                3140 a= 1516, b=40780, c=1, s=42297, cout=0
                3150 a=48542, b= 6420, c=0, s=54962, cout=0
                3160 a= 7772, b= 8524, c=1, s=16297, cout=0
                3170 a=33756, b=34694, c=0, s= 2914, cout=1
                3180 a=58365, b=42635, c=1, s=35465, cout=1
                3190 a=43891, b=43460, c=0, s=21815, cout=1
                3200 a=26753, b=42872, c=0, s= 4089, cout=1
                3210 a=43412, b=27789, c=1, s= 5666, cout=1
                3220 a=16229, b=63167, c=1, s=13861, cout=1
                3230 a=40851, b= 7259, c=1, s=48111, cout=0
                3240 a=43874, b= 4311, c=1, s=48186, cout=0
                3250 a=41627, b=52853, c=1, s=28945, cout=1
                3260 a=39117, b=36977, c=0, s=10558, cout=1
                3270 a=50885, b=47085, c=0, s=32434, cout=1
                3280 a=15609, b=35451, c=0, s=51060, cout=0
                3290 a=30681, b=55694, c=0, s=20839, cout=1
                3300 a=47669, b=58799, c=1, s=40933, cout=1
                3310 a=33557, b=32211, c=0, s=  232, cout=1
                3320 a=43806, b=24792, c=1, s= 3063, cout=1
                3330 a=31694, b=  108, c=1, s=31803, cout=0
                3340 a=56021, b=39518, c=0, s=30003, cout=1
                3350 a=27480, b=57497, c=0, s=19441, cout=1
                3360 a= 5359, b=26614, c=1, s=31974, cout=0
                3370 a=61763, b= 7499, c=1, s= 3727, cout=1
                3380 a=12862, b= 3925, c=0, s=16787, cout=0
                3390 a=52948, b= 6494, c=0, s=59442, cout=0
                3400 a=  958, b=54163, c=1, s=55122, cout=0
                3410 a=29265, b=17720, c=0, s=46985, cout=0
                3420 a=19826, b=37878, c=0, s=57704, cout=0
                3430 a= 3553, b= 4036, c=0, s= 7589, cout=0
                3440 a=40892, b=31945, c=0, s= 7301, cout=1
                3450 a=58895, b=35777, c=1, s=29137, cout=1
                3460 a=59751, b=41137, c=0, s=35352, cout=1
                3470 a=27584, b=32900, c=1, s=60485, cout=0
                3480 a=18855, b=22114, c=0, s=40969, cout=0
                3490 a=21929, b=51414, c=0, s= 7807, cout=1
                3500 a=10697, b=47909, c=1, s=58607, cout=0
                3510 a=58264, b= 7174, c=1, s=65439, cout=0
                3520 a= 2506, b=27000, c=0, s=29506, cout=0
                3530 a= 8965, b= 6906, c=0, s=15871, cout=0
                3540 a=15531, b=24150, c=0, s=39681, cout=0
                3550 a=61616, b=13045, c=1, s= 9126, cout=1
                3560 a=25197, b= 2796, c=0, s=27993, cout=0
                3570 a=61745, b= 6733, c=1, s= 2943, cout=1
                3580 a=12145, b=25588, c=1, s=37734, cout=0
                3590 a= 8357, b=47518, c=0, s=55875, cout=0
                3600 a=34712, b=34567, c=1, s= 3744, cout=1
                3610 a=21581, b=22832, c=1, s=44414, cout=0
                3620 a= 2523, b= 1690, c=0, s= 4213, cout=0
                3630 a=21343, b= 6191, c=0, s=27534, cout=0
                3640 a=16087, b=21723, c=0, s=37810, cout=0
                3650 a=19129, b=59691, c=0, s=13284, cout=1
                3660 a=11597, b=61240, c=0, s= 7301, cout=1
                3670 a=21553, b=29338, c=1, s=50892, cout=0
                3680 a=40762, b=17835, c=0, s=58597, cout=0
                3690 a=12086, b=26192, c=0, s=38278, cout=0
                3700 a=34824, b=37256, c=1, s= 6545, cout=1
                3710 a=11823, b=35190, c=1, s=47014, cout=0
                3720 a=42348, b=14065, c=0, s=56413, cout=0
                3730 a= 6226, b=35408, c=1, s=41635, cout=0
                3740 a=47010, b=27847, c=0, s= 9321, cout=1
                3750 a=18297, b=46977, c=1, s=65275, cout=0
                3760 a=48981, b=34926, c=0, s=18371, cout=1
                3770 a=12461, b=32831, c=0, s=45292, cout=0
                3780 a=52675, b=49946, c=1, s=37086, cout=1
                3790 a=24829, b=62032, c=1, s=21326, cout=1
                3800 a=20853, b= 3208, c=0, s=24061, cout=0
                3810 a=51444, b=61383, c=0, s=47291, cout=1
                3820 a=34868, b=10083, c=1, s=44952, cout=0
                3830 a=15518, b=16310, c=1, s=31829, cout=0
                3840 a=48711, b=39672, c=0, s=22847, cout=1
                3850 a= 9980, b=34321, c=1, s=44302, cout=0
                3860 a= 7291, b=13302, c=1, s=20594, cout=0
                3870 a=19491, b=25764, c=1, s=45256, cout=0
                3880 a=37381, b= 8439, c=1, s=45821, cout=0
                3890 a=26754, b=33268, c=1, s=60023, cout=0
                3900 a=18672, b=30473, c=1, s=49146, cout=0
                3910 a=24198, b=11917, c=0, s=36115, cout=0
                3920 a=64914, b=46785, c=1, s=46164, cout=1
                3930 a=49695, b=38655, c=1, s=22815, cout=1
                3940 a=46236, b=63719, c=0, s=44419, cout=1
                3950 a=  624, b=50051, c=1, s=50676, cout=0
                3960 a=48342, b=57342, c=0, s=40148, cout=1
                3970 a=60985, b= 6834, c=0, s= 2283, cout=1
                3980 a=12812, b=20567, c=1, s=33380, cout=0
                3990 a=14585, b=47322, c=1, s=61908, cout=0
                4000 a= 8390, b=42346, c=0, s=50736, cout=0
                4010 a=28107, b= 1008, c=1, s=29116, cout=0
                4020 a=39207, b=61458, c=1, s=35130, cout=1
                4030 a=60391, b=17505, c=0, s=12360, cout=1
                4040 a= 4236, b=63741, c=1, s= 2442, cout=1
