                   0 a =     x, b =     x, cin = x, s =     x, cout = x
                  10 a = 16687, b =  3597, cin = 1, s =     x, cout = x
                  11 a = 16687, b =  3597, cin = 1, s =     X, cout = x
                  13 a = 16687, b =  3597, cin = 1, s =     X, cout = 0
                  14 a = 16687, b =  3597, cin = 1, s =     X, cout = 0
                  16 a = 16687, b =  3597, cin = 1, s = 20285, cout = 0
                  20 a = 14642, b = 25400, cin = 1, s = 20285, cout = 0
                  21 a = 14642, b = 25400, cin = 1, s = 23061, cout = 0
                  23 a = 14642, b = 25400, cin = 1, s =  6255, cout = 0
                  24 a = 14642, b = 25400, cin = 1, s = 40043, cout = 0
                  30 a = 29923, b = 60414, cin = 1, s = 40043, cout = 0
                  31 a = 29923, b = 60414, cin = 1, s = 22908, cout = 0
                  33 a = 29923, b = 60414, cin = 1, s = 23256, cout = 1
                  34 a = 29923, b = 60414, cin = 1, s = 24258, cout = 1
                  35 a = 29923, b = 60414, cin = 1, s = 16578, cout = 1
                  36 a = 29923, b = 60414, cin = 1, s = 16610, cout = 1
                  37 a = 29923, b = 60414, cin = 1, s = 24802, cout = 1
                  40 a = 18974, b = 64900, cin = 1, s = 24802, cout = 1
                  41 a = 18974, b = 64900, cin = 1, s = 18533, cout = 1
                  43 a = 18974, b = 64900, cin = 1, s =  2465, cout = 1
                  44 a = 18974, b = 64900, cin = 1, s = 18851, cout = 1
                  45 a = 18974, b = 64900, cin = 1, s = 18339, cout = 1
                  50 a =  3642, b =  1722, cin = 0, s = 18339, cout = 1
                  51 a =  3642, b =  1722, cin = 0, s = 63672, cout = 1
                  53 a =  3642, b =  1722, cin = 0, s = 25844, cout = 0
                  54 a =  3642, b =  1722, cin = 0, s =  5364, cout = 0
                  60 a = 34114, b = 54843, cin = 0, s =  5364, cout = 0
                  61 a = 34114, b = 54843, cin = 0, s = 20237, cout = 0
                  62 a = 34114, b = 54843, cin = 0, s = 20237, cout = 1
                  63 a = 34114, b = 54843, cin = 0, s = 19325, cout = 1
                  64 a = 34114, b = 54843, cin = 0, s = 31645, cout = 1
                  65 a = 34114, b = 54843, cin = 0, s = 31613, cout = 1
                  66 a = 34114, b = 54843, cin = 0, s = 23421, cout = 1
                  70 a = 15634, b = 49945, cin = 1, s = 23421, cout = 1
                  71 a = 15634, b = 49945, cin = 1, s = 62990, cout = 1
                  72 a = 15634, b = 49945, cin = 1, s = 62990, cout = 0
                  73 a = 15634, b = 49945, cin = 1, s = 64552, cout = 0
                  74 a = 15634, b = 49945, cin = 1, s = 57388, cout = 0
                  75 a = 15634, b = 49945, cin = 1, s = 57388, cout = 1
                  76 a = 15634, b = 49945, cin = 1, s =    44, cout = 1
                  80 a = 33270, b = 19719, cin = 1, s =    44, cout = 1
                  81 a = 33270, b = 19719, cin = 1, s = 13014, cout = 1
                  83 a = 33270, b = 19719, cin = 1, s = 13054, cout = 0
                  84 a = 33270, b = 19719, cin = 1, s = 52990, cout = 0
                  90 a = 32910, b = 60722, cin = 0, s = 52990, cout = 0
                  91 a = 32910, b = 60722, cin = 0, s = 28594, cout = 0
                  92 a = 32910, b = 60722, cin = 0, s = 28594, cout = 1
                  93 a = 32910, b = 60722, cin = 0, s = 28088, cout = 1
                  94 a = 32910, b = 60722, cin = 0, s = 28064, cout = 1
                  96 a = 32910, b = 60722, cin = 0, s = 28096, cout = 1
                 100 a = 10070, b = 50511, cin = 1, s = 28096, cout = 1
                 101 a = 10070, b = 50511, cin = 1, s = 57956, cout = 1
                 102 a = 10070, b = 50511, cin = 1, s = 57956, cout = 0
                 103 a = 10070, b = 50511, cin = 1, s = 59620, cout = 0
                 104 a = 10070, b = 50511, cin = 1, s = 60582, cout = 0
                 110 a =  5154, b =  1662, cin = 1, s = 60582, cout = 0
                 111 a =  5154, b =  1662, cin = 1, s =  7395, cout = 0
                 113 a =  5154, b =  1662, cin = 1, s =  7723, cout = 0
                 114 a =  5154, b =  1662, cin = 1, s =  6817, cout = 0
                 120 a = 31951, b = 58193, cin = 1, s =  6817, cout = 0
                 121 a = 31951, b = 58193, cin = 1, s = 38755, cout = 0
                 123 a = 31951, b = 58193, cin = 1, s = 24357, cout = 1
                 124 a = 31951, b = 58193, cin = 1, s = 24097, cout = 1
                 126 a = 31951, b = 58193, cin = 1, s = 16417, cout = 1
                 128 a = 31951, b = 58193, cin = 1, s = 24609, cout = 1
                 130 a =  8309, b = 18116, cin = 1, s = 24609, cout = 1
                 131 a =  8309, b = 18116, cin = 1, s = 39182, cout = 1
                 133 a =  8309, b = 18116, cin = 1, s = 22796, cout = 0
                 134 a =  8309, b = 18116, cin = 1, s = 26458, cout = 0
                 136 a =  8309, b = 18116, cin = 1, s = 26426, cout = 0
                 140 a = 38534, b = 37091, cin = 1, s = 26426, cout = 0
                 141 a = 38534, b = 37091, cin = 1, s =  2030, cout = 0
                 142 a = 38534, b = 37091, cin = 1, s =  2030, cout = 1
                 143 a = 38534, b = 37091, cin = 1, s = 10082, cout = 1
                 144 a = 38534, b = 37091, cin = 1, s = 10090, cout = 1
                 150 a = 25539, b = 17085, cin = 0, s = 10090, cout = 1
                 151 a = 25539, b = 17085, cin = 0, s =   112, cout = 1
                 152 a = 25539, b = 17085, cin = 0, s =   112, cout = 0
                 153 a = 25539, b = 17085, cin = 0, s = 42100, cout = 0
                 154 a = 25539, b = 17085, cin = 0, s = 42592, cout = 0
                 156 a = 25539, b = 17085, cin = 0, s = 42624, cout = 0
                 160 a = 33313, b = 27551, cin = 1, s = 42624, cout = 0
                 161 a = 33313, b = 27551, cin = 1, s = 28225, cout = 0
                 163 a = 33313, b = 27551, cin = 1, s = 61249, cout = 0
                 164 a = 33313, b = 27551, cin = 1, s = 61377, cout = 0
                 165 a = 33313, b = 27551, cin = 1, s = 60865, cout = 0
                 170 a = 44077, b = 43186, cin = 0, s = 60865, cout = 0
                 171 a = 44077, b = 43186, cin = 0, s =   225, cout = 0
                 172 a = 44077, b = 43186, cin = 0, s =   225, cout = 1
                 173 a = 44077, b = 43186, cin = 0, s = 21731, cout = 1
                 174 a = 44077, b = 43186, cin = 0, s = 21759, cout = 1
                 176 a = 44077, b = 43186, cin = 0, s = 21727, cout = 1
                 180 a = 40436, b =  6456, cin = 1, s = 21727, cout = 1
                 181 a = 40436, b =  6456, cin = 1, s = 54413, cout = 1
                 182 a = 40436, b =  6456, cin = 1, s = 54413, cout = 0
                 183 a = 40436, b =  6456, cin = 1, s = 46771, cout = 0
                 184 a = 40436, b =  6456, cin = 1, s = 46893, cout = 0
                 190 a =  9757, b = 15719, cin = 1, s = 46893, cout = 0
                 191 a =  9757, b = 15719, cin = 1, s = 10395, cout = 0
                 193 a =  9757, b = 15719, cin = 1, s = 21233, cout = 0
                 194 a =  9757, b = 15719, cin = 1, s = 25957, cout = 0
                 195 a =  9757, b = 15719, cin = 1, s = 17765, cout = 0
                 196 a =  9757, b = 15719, cin = 1, s = 25477, cout = 0
                 200 a = 10837, b = 25789, cin = 1, s = 25477, cout = 0
                 201 a = 10837, b = 25789, cin = 1, s = 13847, cout = 0
                 203 a = 10837, b = 25789, cin = 1, s = 15895, cout = 0
                 204 a = 10837, b = 25789, cin = 1, s = 36627, cout = 0
                 210 a = 58799, b =  7296, cin = 1, s = 36627, cout = 0
                 211 a = 58799, b =  7296, cin = 1, s = 14548, cout = 0
                 213 a = 58799, b =  7296, cin = 1, s = 28926, cout = 0
                 214 a = 58799, b =  7296, cin = 1, s = 57904, cout = 0
                 215 a = 58799, b =  7296, cin = 1, s = 57904, cout = 1
                 216 a = 58799, b =  7296, cin = 1, s =   560, cout = 1
                 220 a = 40358, b = 15599, cin = 0, s =   560, cout = 1
                 221 a = 40358, b = 15599, cin = 0, s = 23127, cout = 1
                 223 a = 40358, b = 15599, cin = 0, s = 23045, cout = 0
                 224 a = 40358, b = 15599, cin = 0, s = 55957, cout = 0
                 230 a = 47317, b =   260, cin = 1, s = 55957, cout = 0
                 231 a = 47317, b =   260, cin = 1, s = 49676, cout = 0
                 233 a = 47317, b =   260, cin = 1, s = 64330, cout = 0
                 234 a = 47317, b =   260, cin = 1, s = 56314, cout = 0
                 235 a = 47317, b =   260, cin = 1, s = 47610, cout = 0
                 236 a = 47317, b =   260, cin = 1, s = 47578, cout = 0
                 240 a =  1858, b = 38794, cin = 0, s = 47578, cout = 0
                 241 a =  1858, b = 38794, cin = 0, s = 37058, cout = 0
                 243 a =  1858, b = 38794, cin = 0, s = 40652, cout = 0
                 250 a = 36019, b = 64333, cin = 1, s = 40652, cout = 0
                 251 a = 36019, b = 64333, cin = 1, s = 31227, cout = 0
                 252 a = 36019, b = 64333, cin = 1, s = 31227, cout = 1
                 253 a = 36019, b = 64333, cin = 1, s = 26621, cout = 1
                 254 a = 36019, b = 64333, cin = 1, s = 26593, cout = 1
                 255 a = 36019, b = 64333, cin = 1, s = 34785, cout = 1
                 256 a = 36019, b = 64333, cin = 1, s = 34305, cout = 1
                 258 a = 36019, b = 64333, cin = 1, s = 34817, cout = 1
                 260 a = 48255, b = 27646, cin = 1, s = 34817, cout = 1
                 261 a = 48255, b = 27646, cin = 1, s = 10366, cout = 1
                 262 a = 48255, b = 27646, cin = 1, s = 10366, cout = 0
                 263 a = 48255, b = 27646, cin = 1, s = 10364, cout = 1
                 264 a = 48255, b = 27646, cin = 1, s = 10366, cout = 1
                 270 a = 21686, b = 48075, cin = 1, s = 10366, cout = 1
                 271 a = 21686, b = 48075, cin = 1, s =  4226, cout = 1
                 273 a = 21686, b = 48075, cin = 1, s = 16506, cout = 1
                 274 a = 21686, b = 48075, cin = 1, s =  4226, cout = 1
                 275 a = 21686, b = 48075, cin = 1, s =  4194, cout = 1
                 276 a = 21686, b = 48075, cin = 1, s =  4226, cout = 1
                 280 a = 45062, b = 64863, cin = 1, s =  4226, cout = 1
                 281 a = 45062, b = 64863, cin = 1, s = 45734, cout = 1
                 283 a = 45062, b = 64863, cin = 1, s = 45990, cout = 1
                 284 a = 45062, b = 64863, cin = 1, s = 44902, cout = 1
                 285 a = 45062, b = 64863, cin = 1, s = 44390, cout = 1
                 290 a = 64509, b =  4621, cin = 0, s = 44390, cout = 1
                 291 a = 64509, b =  4621, cin = 0, s =  2510, cout = 1
                 292 a = 64509, b =  4621, cin = 0, s =  2510, cout = 0
                 293 a = 64509, b =  4621, cin = 0, s = 19914, cout = 1
                 294 a = 64509, b =  4621, cin = 0, s =  3082, cout = 1
                 296 a = 64509, b =  4621, cin = 0, s =  3594, cout = 1
                 300 a =  4679, b = 61810, cin = 0, s =  3594, cout = 1
                 301 a =  4679, b = 61810, cin = 0, s =  1231, cout = 1
                 303 a =  4679, b = 61810, cin = 0, s =   209, cout = 1
                 304 a =  4679, b = 61810, cin = 0, s =  1497, cout = 1
                 305 a =  4679, b = 61810, cin = 0, s =  1465, cout = 1
                 306 a =  4679, b = 61810, cin = 0, s =   953, cout = 1
                 310 a = 19008, b = 26961, cin = 0, s =   953, cout = 1
                 311 a = 19008, b = 26961, cin = 0, s = 50077, cout = 1
                 313 a = 19008, b = 26961, cin = 0, s = 62361, cout = 0
                 314 a = 19008, b = 26961, cin = 0, s = 45969, cout = 0
                 320 a = 53239, b =  1783, cin = 1, s = 45969, cout = 0
                 321 a = 53239, b =  1783, cin = 1, s = 22913, cout = 0
                 323 a = 53239, b =  1783, cin = 1, s = 50415, cout = 0
                 324 a = 53239, b =  1783, cin = 1, s = 54511, cout = 0
                 325 a = 53239, b =  1783, cin = 1, s = 55023, cout = 0
                 330 a =  5664, b = 20988, cin = 0, s = 55023, cout = 0
                 331 a =  5664, b = 20988, cin = 0, s = 22578, cout = 0
                 333 a =  5664, b = 20988, cin = 0, s = 30108, cout = 0
                 334 a =  5664, b = 20988, cin = 0, s = 26652, cout = 0
                 335 a =  5664, b = 20988, cin = 0, s = 26140, cout = 0
                 336 a =  5664, b = 20988, cin = 0, s = 26652, cout = 0
                 340 a = 22557, b = 18382, cin = 0, s = 26652, cout = 0
                 341 a = 22557, b = 18382, cin = 0, s = 12307, cout = 0
                 343 a = 22557, b = 18382, cin = 0, s = 36939, cout = 0
                 344 a = 22557, b = 18382, cin = 0, s = 33227, cout = 0
                 345 a = 22557, b = 18382, cin = 0, s = 33259, cout = 0
                 346 a = 22557, b = 18382, cin = 0, s = 49131, cout = 0
                 348 a = 22557, b = 18382, cin = 0, s = 40939, cout = 0
                 350 a =  6541, b = 54402, cin = 0, s = 40939, cout = 0
                 351 a =  6541, b = 54402, cin = 0, s = 19767, cout = 0
                 353 a =  6541, b = 54402, cin = 0, s = 60463, cout = 0
                 354 a =  6541, b = 54402, cin = 0, s = 60431, cout = 0
                 355 a =  6541, b = 54402, cin = 0, s = 60943, cout = 0
                 360 a = 53962, b =  9009, cin = 0, s = 60943, cout = 0
                 361 a = 53962, b =  9009, cin = 0, s = 54011, cout = 0
                 363 a = 53962, b =  9009, cin = 0, s = 63483, cout = 0
                 365 a = 53962, b =  9009, cin = 0, s = 62971, cout = 0
                 370 a = 58935, b =  7048, cin = 0, s = 62971, cout = 0
                 371 a = 58935, b =  7048, cin = 0, s = 63935, cout = 0
                 374 a = 58935, b =  7048, cin = 0, s = 57791, cout = 0
                 375 a = 58935, b =  7048, cin = 0, s = 57791, cout = 1
                 376 a = 58935, b =  7048, cin = 0, s =   447, cout = 1
                 380 a = 37094, b = 28462, cin = 1, s =   447, cout = 1
                 381 a = 37094, b = 28462, cin = 1, s =   969, cout = 1
                 383 a = 37094, b = 28462, cin = 1, s =  1943, cout = 1
                 384 a = 37094, b = 28462, cin = 1, s =  7701, cout = 1
                 385 a = 37094, b = 28462, cin = 1, s =  7701, cout = 0
                 386 a = 37094, b = 28462, cin = 1, s = 57365, cout = 0
                 387 a = 37094, b = 28462, cin = 1, s = 57365, cout = 1
                 388 a = 37094, b = 28462, cin = 1, s =    21, cout = 1
                 390 a =  2526, b = 22972, cin = 0, s =    21, cout = 1
                 391 a =  2526, b = 22972, cin = 0, s = 44990, cout = 1
                 393 a =  2526, b = 22972, cin = 0, s = 45018, cout = 0
                 394 a =  2526, b = 22972, cin = 0, s = 25498, cout = 0
                 400 a = 21100, b = 27651, cin = 1, s = 25498, cout = 0
                 401 a = 21100, b = 27651, cin = 1, s =  3478, cout = 0
                 403 a = 21100, b = 27651, cin = 1, s = 40622, cout = 0
                 404 a = 21100, b = 27651, cin = 1, s = 56944, cout = 0
                 405 a = 21100, b = 27651, cin = 1, s = 48752, cout = 0
                 410 a = 46280, b = 23011, cin = 0, s = 48752, cout = 0
                 411 a = 46280, b = 23011, cin = 0, s = 27957, cout = 0
                 413 a = 46280, b = 23011, cin = 0, s = 52395, cout = 1
                 414 a = 46280, b = 23011, cin = 0, s =  3243, cout = 1
                 415 a = 46280, b = 23011, cin = 0, s =  3755, cout = 1
                 420 a =  8756, b = 52602, cin = 0, s =  3755, cout = 1
                 421 a =  8756, b = 52602, cin = 0, s =  3278, cout = 1
                 423 a =  8756, b = 52602, cin = 0, s = 11566, cout = 0
                 424 a =  8756, b = 52602, cin = 0, s = 61870, cout = 0
                 425 a =  8756, b = 52602, cin = 0, s = 61358, cout = 0
                 430 a = 33184, b = 58266, cin = 0, s = 61358, cout = 0
                 431 a = 33184, b = 58266, cin = 0, s = 25306, cout = 0
                 432 a = 33184, b = 58266, cin = 0, s = 25306, cout = 1
                 433 a = 33184, b = 58266, cin = 0, s = 25018, cout = 1
                 434 a = 33184, b = 58266, cin = 0, s = 25914, cout = 1
                 440 a = 57872, b = 10823, cin = 1, s = 25914, cout = 1
                 441 a = 57872, b = 10823, cin = 1, s = 53078, cout = 1
                 442 a = 57872, b = 10823, cin = 1, s = 53078, cout = 0
                 443 a = 57872, b = 10823, cin = 1, s = 35926, cout = 1
                 444 a = 57872, b = 10823, cin = 1, s =  3160, cout = 1
                 450 a = 51354, b = 63716, cin = 1, s =  3160, cout = 1
                 451 a = 51354, b = 63716, cin = 1, s = 62577, cout = 1
                 453 a = 51354, b = 63716, cin = 1, s = 41329, cout = 1
                 454 a = 51354, b = 63716, cin = 1, s = 41343, cout = 1
                 455 a = 51354, b = 63716, cin = 1, s = 49535, cout = 1
                 460 a = 39170, b = 47679, cin = 0, s = 49535, cout = 1
                 461 a = 39170, b = 47679, cin = 0, s = 53821, cout = 1
                 463 a = 39170, b = 47679, cin = 0, s = 21305, cout = 1
                 464 a = 39170, b = 47679, cin = 0, s = 21793, cout = 1
                 465 a = 39170, b = 47679, cin = 0, s = 21281, cout = 1
                 466 a = 39170, b = 47679, cin = 0, s = 21313, cout = 1
                 470 a =  7337, b = 36614, cin = 0, s = 21313, cout = 1
                 471 a =  7337, b = 36614, cin = 0, s = 58323, cout = 1
                 472 a =  7337, b = 36614, cin = 0, s = 58323, cout = 0
                 473 a =  7337, b = 36614, cin = 0, s = 52183, cout = 0
                 474 a =  7337, b = 36614, cin = 0, s = 43951, cout = 0
                 480 a = 47227, b = 50061, cin = 1, s = 43951, cout = 0
                 481 a = 47227, b = 50061, cin = 1, s = 17399, cout = 0
                 482 a = 47227, b = 50061, cin = 1, s = 17399, cout = 1
                 483 a = 47227, b = 50061, cin = 1, s = 23529, cout = 1
                 484 a = 47227, b = 50061, cin = 1, s = 39913, cout = 1
                 485 a = 47227, b = 50061, cin = 1, s = 31241, cout = 1
                 487 a = 47227, b = 50061, cin = 1, s = 31753, cout = 1
                 490 a = 58332, b = 24475, cin = 1, s = 31753, cout = 1
                 491 a = 58332, b = 24475, cin = 1, s = 48056, cout = 1
                 492 a = 58332, b = 24475, cin = 1, s = 48056, cout = 0
                 493 a = 58332, b = 24475, cin = 1, s = 15290, cout = 1
                 494 a = 58332, b = 24475, cin = 1, s =  9080, cout = 1
                 496 a = 58332, b = 24475, cin = 1, s = 17272, cout = 1
                 500 a = 50411, b = 21927, cin = 0, s = 17272, cout = 1
                 501 a = 50411, b = 21927, cin = 0, s = 28274, cout = 1
                 503 a = 50411, b = 21927, cin = 0, s = 26634, cout = 1
                 504 a = 50411, b = 21927, cin = 0, s = 14994, cout = 1
                 506 a = 50411, b = 21927, cin = 0, s =  6802, cout = 1
                 510 a = 10652, b =  2672, cin = 1, s =  6802, cout = 1
                 511 a = 10652, b =  2672, cin = 1, s = 43059, cout = 1
                 513 a = 10652, b =  2672, cin = 1, s = 12629, cout = 0
                 514 a = 10652, b =  2672, cin = 1, s = 13325, cout = 0
                 515 a = 10652, b =  2672, cin = 1, s = 12813, cout = 0
                 516 a = 10652, b =  2672, cin = 1, s = 13325, cout = 0
                 520 a =  2318, b =  6964, cin = 1, s = 13325, cout = 0
                 521 a =  2318, b =  6964, cin = 1, s =  1499, cout = 0
                 523 a =  2318, b =  6964, cin = 1, s =  1523, cout = 0
                 524 a =  2318, b =  6964, cin = 1, s =  9251, cout = 0
                 526 a =  2318, b =  6964, cin = 1, s =  9283, cout = 0
                 530 a = 52376, b = 16500, cin = 0, s =  9283, cout = 0
                 531 a = 52376, b = 16500, cin = 0, s = 47764, cout = 0
                 533 a = 52376, b = 16500, cin = 0, s = 10396, cout = 1
                 534 a = 52376, b = 16500, cin = 0, s =  3340, cout = 1
                 540 a = 34239, b =  4372, cin = 1, s =  3340, cout = 1
                 541 a = 34239, b =  4372, cin = 1, s =  5450, cout = 1
                 543 a = 34239, b =  4372, cin = 1, s = 38722, cout = 0
                 544 a = 34239, b =  4372, cin = 1, s = 38612, cout = 0
                 550 a = 34484, b = 55727, cin = 0, s = 38612, cout = 0
                 551 a = 34484, b = 55727, cin = 0, s = 23909, cout = 0
                 552 a = 34484, b = 55727, cin = 0, s = 23909, cout = 1
                 553 a = 34484, b = 55727, cin = 0, s = 24131, cout = 1
                 554 a = 34484, b = 55727, cin = 0, s = 24163, cout = 1
                 555 a = 34484, b = 55727, cin = 0, s = 16483, cout = 1
                 557 a = 34484, b = 55727, cin = 0, s = 24675, cout = 1
                 560 a = 65483, b =  1249, cin = 1, s = 24675, cout = 1
                 561 a = 65483, b =  1249, cin = 1, s = 50259, cout = 1
                 562 a = 65483, b =  1249, cin = 1, s = 50259, cout = 0
                 563 a = 65483, b =  1249, cin = 1, s = 50333, cout = 1
                 564 a = 65483, b =  1249, cin = 1, s =  1197, cout = 1
                 570 a = 35491, b =  8586, cin = 1, s =  1197, cout = 1
                 571 a = 35491, b =  8586, cin = 1, s = 21678, cout = 1
                 573 a = 35491, b =  8586, cin = 1, s = 23596, cout = 0
                 574 a = 35491, b =  8586, cin = 1, s = 44078, cout = 0
                 580 a = 35252, b = 55813, cin = 0, s = 44078, cout = 0
                 581 a = 35252, b = 55813, cin = 0, s = 21687, cout = 0
                 582 a = 35252, b = 55813, cin = 0, s = 21687, cout = 1
                 583 a = 35252, b = 55813, cin = 0, s = 17849, cout = 1
                 585 a = 35252, b = 55813, cin = 0, s = 25529, cout = 1
                 590 a = 63475, b = 20498, cin = 1, s = 25529, cout = 1
                 591 a = 63475, b = 20498, cin = 1, s = 38888, cout = 1
                 592 a = 63475, b = 20498, cin = 1, s = 38888, cout = 0
                 593 a = 63475, b = 20498, cin = 1, s =  1990, cout = 1
                 594 a = 63475, b = 20498, cin = 1, s = 17926, cout = 1
                 596 a = 63475, b = 20498, cin = 1, s = 18438, cout = 1
                 600 a = 21022, b =   909, cin = 1, s = 18438, cout = 1
                 601 a = 21022, b =   909, cin = 1, s = 48756, cout = 1
                 603 a = 21022, b =   909, cin = 1, s =  7752, cout = 0
                 604 a = 21022, b =   909, cin = 1, s = 22412, cout = 0
                 605 a = 21022, b =   909, cin = 1, s = 22444, cout = 0
                 606 a = 21022, b =   909, cin = 1, s = 21932, cout = 0
                 610 a =  6220, b = 11561, cin = 1, s = 21932, cout = 0
                 611 a =  6220, b = 11561, cin = 1, s = 12634, cout = 0
                 613 a =  6220, b = 11561, cin = 1, s =  9554, cout = 0
                 614 a =  6220, b = 11561, cin = 1, s =  9590, cout = 0
                 615 a =  6220, b = 11561, cin = 1, s = 17782, cout = 0
                 620 a = 60781, b =  9415, cin = 1, s = 17782, cout = 0
                 621 a = 60781, b =  9415, cin = 1, s = 47545, cout = 0
                 623 a = 60781, b =  9415, cin = 1, s = 41249, cout = 1
                 624 a = 60781, b =  9415, cin = 1, s =  4149, cout = 1
                 626 a = 60781, b =  9415, cin = 1, s =  4661, cout = 1
                 630 a = 27944, b = 38144, cin = 0, s =  4661, cout = 1
                 631 a = 27944, b = 38144, cin = 0, s =  9142, cout = 1
                 633 a = 27944, b = 38144, cin = 0, s = 25404, cout = 1
                 634 a = 27944, b = 38144, cin = 0, s =   552, cout = 1
                 640 a = 29726, b =  2383, cin = 0, s =   552, cout = 1
                 641 a = 29726, b =  2383, cin = 0, s = 34641, cout = 1
                 643 a = 29726, b =  2383, cin = 0, s = 36173, cout = 0
                 644 a = 29726, b =  2383, cin = 0, s = 40269, cout = 0
                 645 a = 29726, b =  2383, cin = 0, s = 40301, cout = 0
                 646 a = 29726, b =  2383, cin = 0, s = 32109, cout = 0
                 650 a = 18684, b = 36867, cin = 1, s = 32109, cout = 0
                 651 a = 18684, b = 36867, cin = 1, s = 55490, cout = 0
                 653 a = 18684, b = 36867, cin = 1, s = 55516, cout = 0
                 654 a = 18684, b = 36867, cin = 1, s = 55552, cout = 0
                 655 a = 18684, b = 36867, cin = 1, s = 55520, cout = 0
                 656 a = 18684, b = 36867, cin = 1, s = 55552, cout = 0
                 660 a = 47710, b = 32350, cin = 1, s = 55552, cout = 0
                 661 a = 47710, b = 32350, cin = 1, s = 50687, cout = 0
                 663 a = 47710, b = 32350, cin = 1, s = 45567, cout = 1
                 664 a = 47710, b = 32350, cin = 1, s = 14525, cout = 1
                 670 a = 54415, b = 44193, cin = 1, s = 14525, cout = 1
                 671 a = 54415, b = 44193, cin = 1, s = 33939, cout = 1
                 673 a = 54415, b = 44193, cin = 1, s = 61741, cout = 1
                 674 a = 54415, b = 44193, cin = 1, s = 33073, cout = 1
                 675 a = 54415, b = 44193, cin = 1, s = 24881, cout = 1
                 676 a = 54415, b = 44193, cin = 1, s = 33073, cout = 1
                 680 a =  4086, b =  9445, cin = 1, s = 33073, cout = 1
                 681 a =  4086, b =  9445, cin = 1, s = 53772, cout = 1
                 682 a =  4086, b =  9445, cin = 1, s = 53772, cout = 0
                 683 a =  4086, b =  9445, cin = 1, s = 53966, cout = 0
                 684 a =  4086, b =  9445, cin = 1, s = 13564, cout = 0
                 686 a =  4086, b =  9445, cin = 1, s = 13532, cout = 0
                 690 a =  3819, b = 49272, cin = 1, s = 13532, cout = 0
                 691 a =  3819, b = 49272, cin = 1, s = 53596, cout = 0
                 693 a =  3819, b = 49272, cin = 1, s = 55364, cout = 0
                 694 a =  3819, b = 49272, cin = 1, s = 53060, cout = 0
                 695 a =  3819, b = 49272, cin = 1, s = 53092, cout = 0
                 700 a =  4378, b =   294, cin = 0, s = 53092, cout = 0
                 701 a =  4378, b =   294, cin = 0, s =  4554, cout = 0
                 703 a =  4378, b =   294, cin = 0, s =  4888, cout = 0
                 704 a =  4378, b =   294, cin = 0, s =  4672, cout = 0
                 705 a =  4378, b =   294, cin = 0, s =  4640, cout = 0
                 706 a =  4378, b =   294, cin = 0, s =  4672, cout = 0
                 710 a = 26865, b =  6514, cin = 1, s =  4672, cout = 0
                 711 a = 26865, b =  6514, cin = 1, s = 29694, cout = 0
                 713 a = 26865, b =  6514, cin = 1, s = 24954, cout = 0
                 714 a = 26865, b =  6514, cin = 1, s = 24676, cout = 0
                 715 a = 26865, b =  6514, cin = 1, s = 32868, cout = 0
                 716 a = 26865, b =  6514, cin = 1, s = 33380, cout = 0
                 720 a = 47560, b = 43647, cin = 0, s = 33380, cout = 0
                 721 a = 47560, b = 43647, cin = 0, s = 57425, cout = 0
                 722 a = 47560, b = 43647, cin = 0, s = 57425, cout = 1
                 723 a = 47560, b = 43647, cin = 0, s = 57383, cout = 1
                 724 a = 47560, b = 43647, cin = 0, s = 25639, cout = 1
                 725 a = 47560, b = 43647, cin = 0, s = 25671, cout = 1
                 730 a = 51572, b = 47944, cin = 0, s = 25671, cout = 1
                 731 a = 51572, b = 47944, cin = 0, s =  1484, cout = 1
                 733 a = 51572, b = 47944, cin = 0, s = 17884, cout = 1
                 734 a = 51572, b = 47944, cin = 0, s = 34012, cout = 1
                 735 a = 51572, b = 47944, cin = 0, s = 33980, cout = 1
                 740 a = 48436, b =  7670, cin = 1, s = 33980, cout = 1
                 741 a = 48436, b =  7670, cin = 1, s = 22083, cout = 1
                 742 a = 48436, b =  7670, cin = 1, s = 22083, cout = 0
                 743 a = 48436, b =  7670, cin = 1, s = 24235, cout = 0
                 744 a = 48436, b =  7670, cin = 1, s = 56107, cout = 0
                 750 a = 49672, b =  2706, cin = 0, s = 56107, cout = 0
                 751 a = 49672, b =  2706, cin = 0, s = 45938, cout = 0
                 753 a = 49672, b =  2706, cin = 0, s = 36122, cout = 0
                 754 a = 49672, b =  2706, cin = 0, s = 52378, cout = 0
                 760 a = 36636, b = 26768, cin = 0, s = 52378, cout = 0
                 761 a = 36636, b = 26768, cin = 0, s = 58252, cout = 0
                 763 a = 36636, b = 26768, cin = 0, s = 63404, cout = 0
                 770 a =  1201, b = 11183, cin = 0, s = 63404, cout = 0
                 771 a =  1201, b = 11183, cin = 0, s = 16190, cout = 0
                 773 a =  1201, b = 11183, cin = 0, s = 11868, cout = 0
                 774 a =  1201, b = 11183, cin = 0, s = 11840, cout = 0
                 775 a =  1201, b = 11183, cin = 0, s = 12352, cout = 0
                 776 a =  1201, b = 11183, cin = 0, s = 12384, cout = 0
                 780 a =  2464, b = 15270, cin = 1, s = 12384, cout = 0
                 781 a =  2464, b = 15270, cin = 1, s = 11641, cout = 0
                 783 a =  2464, b = 15270, cin = 1, s = 11643, cout = 0
                 784 a =  2464, b = 15270, cin = 1, s = 17735, cout = 0
